Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),labels
187.7098779,4.727230318,-9.18962036,0.111475997,10.33480797,1
187.7198149,5.196714081,-8.647046109,0.03804199417,10.08854255,1
187.7297519,5.594621783,-8.69531312,0.113984489,10.34027348,1
187.7396889,5.947587202,-9.009719076,0.5380549737,10.80917825,1
187.7496259,6.120446684,-9.515631284,1.167934549,11.37414513,1
187.7595639,5.987221384,-10.41475997,1.443976922,12.09955018,1
187.7695009,5.301924201,-11.30358938,1.396615645,12.56312335,1
187.7794379,3.847443926,-11.32206892,0.9684217036,11.99707923,1
187.7893749,2.748156273,-11.68041436,1.296399046,12.06917947,1
187.7993119,1.274184597,-11.80989043,2.599872054,12.15962141,1
187.8092489,-0.5714539406,-11.63222629,4.179834162,12.3736115,1
187.8191869,-2.734548048,-11.14346221,5.723398522,12.82231624,1
187.8291239,-6.088464754,-10.46528459,6.520839454,13.75183376,1
187.8390609,-10.22985698,-10.12755527,5.199189792,15.30519271,1
187.8489979,-11.9875534,-9.273738404,2.03180102,15.29156224,1
187.8589349,-11.05492484,-6.528947203,-1.796206176,12.96398362,1
187.8688719,-5.737235958,-4.345840123,-5.490707406,9.05262783,1
187.8788099,-0.6139979893,4.512206857,-18.82459039,19.36755554,1
187.8887469,-5.681270503,22.83923369,-18.7084144,30.06513262,1
187.8986839,-10.26479176,40.61209827,-5.990482961,42.31541518,1
187.9086209,-7.496040419,49.99082635,1.953967563,50.58746219,1
187.9185579,-4.08944878,31.71937204,17.10600717,36.26923814,1
187.9284959,-0.5816813055,7.619994375,12.66521645,14.79224037,1
187.9384329,3.293293358,6.614894841,-0.8176062244,7.434453231,1
187.9483699,3.141234176,12.65756362,-0.9964661193,13.07953415,1
187.9583069,-1.164717118,19.89527288,-2.4747814,20.08240503,1
187.9682439,-6.506354731,26.71079212,-8.0150194,28.63633363,1
187.9781809,-7.645860118,30.20115887,-9.934798293,32.69968488,1
187.9881189,-7.182277658,25.02722905,-6.957031801,26.95083668,1
187.9980559,-6.699586498,15.97844765,-5.541040238,18.19061229,1
188.0079929,-5.916493464,9.493996001,-5.214342266,12.34221294,1
188.0179299,-5.685927225,5.629953584,-4.884770388,9.374813466,1
188.0278669,-6.129652541,1.7469849,-4.082769213,7.569253659,1
188.0378049,-5.517891111,-1.855681715,-1.807246304,6.095639109,1
188.0477419,-4.152072752,-4.47689903,0.4498559748,6.122475272,1
188.0576789,-2.257480155,-6.094359332,1.847511839,6.756532566,1
188.0676159,0.09995457016,-6.643067896,2.212520914,7.002541737,1
188.0775527,1.892116154,-6.993561696,1.584271506,7.416193427,1
188.0874897,3.046934083,-8.039571274,1.879565398,8.800640866,1
188.0974277,3.69469945,-9.110706337,2.552123691,10.15721957,1
188.1073647,3.67345827,-9.604586145,3.677247266,10.92082955,1
188.1173017,2.544322336,-10.34596631,4.907696736,11.7302209,1
188.1272387,0.5807027008,-10.84178096,6.560083627,12.68527206,1
188.1371757,-1.035738212,-10.61543174,6.502854588,12.49188786,1
188.1471127,-1.106552379,-9.609662113,4.643603148,10.73000999,1
188.1570507,1.451875926,-7.723174927,2.786501729,8.337863428,1
188.1669877,5.598991992,-8.062556679,0.07478113733,9.816268321,1
188.1769247,5.959668134,-8.171555795,-3.325122676,10.64652099,1
188.1868617,5.664929874,-8.133936564,-4.623946563,10.93769794,1
188.1967987,6.137532248,-7.991473832,-5.163405417,11.32226619,1
188.2067367,6.628275025,-7.325875919,-4.563158324,10.8823206,1
188.2166737,6.919665754,-6.970647043,-2.947416519,10.25470421,1
188.2266107,7.065812817,-7.561436264,-1.12878744,10.41034054,1
188.2365477,7.147149341,-8.417508981,0.852776788,11.07535234,1
188.2464847,7.114139469,-9.103939939,3.113548779,11.96607241,1
188.2564217,6.902127616,-9.200728315,5.15561868,12.60449012,1
188.2663597,6.142100093,-8.199397897,6.152947848,11.95049316,1
188.2762967,5.336116964,-7.14526069,6.420471997,10.98869215,1
188.2862337,4.834379961,-6.384356085,6.227145506,10.1443863,1
188.2961707,4.219337951,-6.23642913,5.74383688,9.470349684,1
188.3061077,3.88312422,-6.957485545,5.159265003,9.492274448,1
188.3160447,3.631756513,-8.334979625,4.480051264,10.13569929,1
188.3259827,3.415380882,-9.959567099,2.683121202,10.86540118,1
188.3359197,3.221491889,-11.75681408,-0.2463829565,12.1926778,1
188.3458567,2.381118653,-14.05680934,-3.379887114,14.65220979,1
188.3557937,0.2935305181,-15.39018501,-6.074142584,16.54808638,1
188.3657307,-2.134900588,-15.45140419,-6.539198542,16.91345055,1
188.3756677,-5.165246705,-15.93572438,-3.425986562,17.09866863,1
188.3856057,-9.382953283,-16.54111351,2.657992208,19.20190541,1
188.3955427,-12.69742058,-14.2707765,4.227811736,19.56409833,1
188.4054797,-14.42565053,-7.587958649,0.9279251305,16.32597791,1
188.4154167,-12.95211477,-1.088080879,1.784323465,13.11964204,1
188.4253537,-15.49918412,8.208795542,13.4351591,22.09326895,1
188.4352917,-26.19086238,44.24722804,14.01730789,53.29412146,1
188.4452287,-25.85155314,70.08228501,-0.8895661533,74.7035528,1
188.4551657,-10.01200727,34.30045231,0.634192518,35.73742462,1
188.4651027,2.13544701,7.033788786,-6.797555426,10.01204666,1
188.4750397,7.16074821,1.46773299,-8.61483029,11.29804656,1
188.4849767,9.078858308,-1.268633543,-4.759292064,10.32888959,1
188.4949147,9.857349583,4.357728097,-1.936386155,10.95019298,1
188.5048517,8.476348928,17.17835126,2.807186254,19.36038579,1
188.5147887,5.519110841,33.44392877,3.817296267,34.1105366,1
188.5247257,0.3739443514,38.31550843,2.130288012,38.37650515,1
188.5346627,-2.813680172,26.03920666,2.513361329,26.31110155,1
188.5445997,-3.859464047,14.55002198,6.097492855,16.24124446,1
188.5545377,-4.990685683,11.14519766,7.204076078,14.17819053,1
188.5644747,-5.262513383,9.334728956,4.903631752,11.78460081,1
188.5744117,-5.388795115,7.094087028,0.5492178565,8.925627362,1
188.5843487,-5.379886882,4.012338915,-3.215345296,7.441807025,1
188.5942857,-4.561914037,0.2736765897,-5.903065917,7.465396559,1
188.6042237,-2.698215497,-3.421531568,-6.841611857,8.111405424,1
188.6141607,0.08149791618,-6.133125202,-5.843175811,8.471397182,1
188.6240977,2.384336376,-8.052836852,-3.436474712,9.074282328,1
188.6340347,3.985429737,-9.943524678,-0.6757422477,10.73377663,1
188.6439717,5.105958277,-11.38074924,1.434984489,12.5559326,1
188.6539087,5.797621323,-12.23518064,1.417232927,13.61325117,1
188.6638467,6.523620974,-12.86280089,-0.9628300843,14.45462967,1
188.6737837,7.096544613,-13.17617188,-1.657295043,15.05719356,1
188.6837207,6.788910318,-12.22111692,-1.000606606,14.01592721,1
188.6936577,4.977094415,-11.64739162,-1.357038766,12.73871087,1
188.7035947,1.407421592,-11.97525436,-1.583521893,12.16121269,1
188.7135327,-0.4673559603,-11.27239331,-2.513408107,11.55865446,1
188.7234697,0.2574350712,-9.375478787,-3.522685475,10.01874185,1
188.7334067,2.81754372,-8.257512789,-4.522788563,9.827547326,1
188.7433437,5.304701629,-10.05310969,-3.990376189,12.04690731,1
