"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.704053333E-1,3.456423366E0,-7.341072248E0,2.143320286E-1,8.116904733E0
9.803423333E-1,3.315751344E0,-7.986365705E0,3.165005008E-1,8.653116012E0
9.902793333E-1,2.891974974E0,-8.579091523E0,7.180953848E-1,9.081849569E0
1.000216333E0,2.126737583E0,-9.351494678E0,1.284475404E0,9.675915591E0
1.010153333E0,1.038246449E0,-1.029290634E1,1.996164579E0,1.053596458E1
1.020090333E0,-1.483570173E-2,-1.104899927E1,1.574318376E0,1.116060407E1
1.030027333E0,-5.754803333E-1,-1.142007995E1,-6.006259918E-3,1.143457212E1
1.039964333E0,-1.060478951E0,-1.101013166E1,-5.166295695E-1,1.107314413E1
1.049901125E0,-1.884445338E0,-8.710756202E0,-1.362902646E-1,8.913303702E0
1.059838125E0,-1.674497552E0,-5.518824327E0,2.533154154E-1,5.772827098E0
1.069775125E0,-7.636129620E-1,-1.074169183E0,-1.137763939E0,1.741106249E0
1.079712125E0,-1.919760767E-1,9.705799109E0,-5.167579744E0,1.099742113E1
1.089649125E0,1.020898271E0,3.197719683E1,-9.439636191E0,3.335700948E1
1.099586125E0,-1.348743321E0,5.788440376E1,-1.419168589E1,5.961398541E1
1.109523125E0,-3.821462700E0,4.706671801E1,-4.909284840E0,4.747610556E1
1.119460125E0,1.337325755E0,1.658487642E1,6.246441610E-1,1.665042781E1
1.129397125E0,1.775688443E0,1.363395508E1,-1.003218484E0,1.378565369E1
1.139334125E0,-6.046982852E-1,1.932537518E1,1.262296915E-1,1.933524553E1
1.149271125E0,-2.148349769E0,2.167927241E1,2.224406111E0,2.189872694E1
1.159207125E0,-4.359667911E0,1.948263253E1,2.425949109E0,2.011131283E1
1.169144125E0,-5.286168294E0,1.530629384E1,1.327316784E0,1.624770679E1
1.179081125E0,-4.882741404E0,1.193758660E1,-1.777998824E0,1.301953982E1
1.189018125E0,-4.848286101E0,1.001978173E1,-3.486659610E0,1.166442022E1
1.198955125E0,-5.179568875E0,8.949869900E0,-3.552871141E0,1.093393791E1
1.208892125E0,-5.053091261E0,7.843468525E0,-2.559226888E0,9.674883568E0
1.218829125E0,-4.124098210E0,5.439802131E0,-1.753218616E0,7.047936491E0
1.228766125E0,-2.227619302E0,2.106485751E0,-8.036213657E-1,3.169444316E0
1.238703125E0,3.570812738E-1,8.527041364E-1,-9.185215652E-1,1.303185806E0
1.248640125E0,3.129978286E0,8.034758431E-1,-3.578715835E0,4.821778150E0
1.258577125E0,5.220977687E0,2.322631001E-1,-2.653871090E0,5.861363827E0
1.268513125E0,6.857419805E0,-1.589239300E0,7.789391720E-1,7.082134860E0
1.278450125E0,7.449122361E0,-4.451986383E0,1.594653822E0,8.823407931E0
1.288387125E0,6.453974204E0,-6.270047112E0,1.006291780E0,9.054275066E0
1.298324125E0,4.797251018E0,-7.333814099E0,4.262666988E-1,8.773833248E0
1.308261125E0,3.945501148E0,-8.867991339E0,4.346130145E-1,9.715818965E0
1.318198125E0,3.568180321E0,-9.899941871E0,1.190949190E0,1.059052028E1
1.328135125E0,3.104708959E0,-1.086762332E1,2.093752854E0,1.149470553E1
1.338072125E0,2.327921124E0,-1.163180529E1,2.522202319E0,1.212763850E1
1.348009125E0,1.497493563E0,-1.191233364E1,1.479044428E0,1.209684886E1
1.357946125E0,1.029585333E0,-1.173541093E1,-5.317025220E-1,1.179248164E1
1.367883125E0,7.117938405E-1,-1.107604264E1,-2.971866066E0,1.148988072E1
1.377819125E0,7.091295567E-1,-1.096949702E1,-4.841801539E0,1.201148499E1
1.387756125E0,5.137403141E-1,-1.138474171E1,-5.520099605E0,1.266285010E1
1.397693125E0,-1.606366087E-1,-1.131830097E1,-4.479978173E0,1.217373999E1
1.407630125E0,-5.811375144E-1,-1.043144442E1,-2.550492902E0,1.075443013E1
1.417567125E0,-5.251887238E-1,-9.993088017E0,-7.464064336E-1,1.003467757E1
1.427504125E0,-2.259403597E-1,-9.485740317E0,6.663241374E-1,9.511798267E0
1.437441125E0,1.294792816E-1,-8.971024541E0,1.769428267E0,9.144775700E0
1.447378125E0,4.357986836E-1,-8.587865855E0,2.501953996E0,8.955508597E0
1.457315125E0,9.519506818E-1,-8.142251304E0,2.640312567E0,8.612416435E0
1.467252125E0,1.684837330E0,-7.750282618E0,2.102312593E0,8.205198092E0
1.477188125E0,2.428712211E0,-7.481465650E0,1.196501706E0,7.956292328E0
1.487125125E0,2.993570346E0,-6.978457754E0,3.049708696E-1,7.599562045E0
1.497062125E0,3.464454809E0,-6.855931689E0,-2.492691604E-1,7.685595719E0
1.506999125E0,3.811444665E0,-7.201767597E0,-1.638261004E-1,8.149810179E0
1.516936125E0,3.907910860E0,-7.715415671E0,2.114272050E-1,8.651248912E0
1.526873125E0,3.665186799E0,-8.279818162E0,-5.759951441E-1,9.073078500E0
1.536810125E0,3.260077080E0,-8.881807140E0,-1.429206855E0,9.568554378E0
1.546747125E0,3.112531364E0,-9.206095474E0,-1.557004770E0,9.841966736E0
1.556684125E0,3.063671445E0,-8.306117769E0,-3.737383540E0,9.609667572E0
1.566621125E0,2.334889835E0,-5.295525008E0,-8.350593445E0,1.016005446E1
1.576557125E0,1.084124360E0,-1.175684448E0,-3.710672289E0,4.040624752E0
1.586494125E0,-3.344212666E-1,4.999544215E0,-5.438747878E0,7.395083395E0
1.596431125E0,-9.610473414E-1,1.899599684E1,-1.267132679E1,2.285462821E1
1.606368125E0,-3.787086335E0,3.564279059E1,-7.380287769E0,3.659534385E1
1.616305125E0,-6.873814228E0,3.752905558E1,1.162250003E1,3.988435585E1
1.626242125E0,-7.829351592E0,1.625009759E1,1.542471516E1,2.373365239E1
1.636179125E0,-7.906077002E0,-1.790488184E0,-2.691632701E-1,8.110755227E0
1.646116125E0,-8.341133820E0,-2.873332297E0,-5.427479124E0,1.035799602E1
1.656053125E0,-7.762057741E0,3.390422627E0,-3.420431999E0,9.134761137E0
1.665990125E0,-6.133692967E0,1.419528778E1,-1.345342580E0,1.552218835E1
1.675927125E0,-6.542283533E0,2.419275653E1,-1.381257640E0,2.509977719E1
1.685863125E0,-5.483260977E0,3.100057148E1,-3.444895580E0,3.166968406E1
1.695800125E0,-2.201022949E0,3.270668376E1,-4.998854828E0,3.315961722E1
1.705737125E0,7.956884482E-1,2.679717187E1,-4.560009306E0,2.719402922E1
1.715674125E0,1.291117987E0,1.802285176E1,-5.070310142E0,1.876694477E1
1.725611125E0,-7.634138643E-1,1.324516552E1,-2.043340061E0,1.342357810E1
1.735548125E0,-2.257373736E0,1.039802875E1,1.019590688E-1,1.064072994E1
1.745485125E0,-2.276903144E0,6.922925577E0,-4.015913757E-1,7.298798676E0
1.755422125E0,-1.738694863E0,3.542918596E0,-5.325327536E-1,3.982326347E0
1.765359125E0,-1.739043504E0,6.577146971E-1,-1.824604933E0,2.605003665E0
1.775296125E0,-1.798569621E0,-1.918256863E0,-3.106114630E0,4.069706398E0
1.785232125E0,-1.401592210E0,-4.266764132E0,-3.737413945E0,5.842773304E0
1.795169125E0,-7.611927263E-1,-6.441700898E0,-2.586052744E0,6.983021812E0
1.805106125E0,-1.930515258E-1,-8.523844691E0,-4.847224832E-1,8.539798188E0
1.815043125E0,5.914099029E-1,-9.797086424E0,9.288337147E-1,9.858772751E0
1.824980125E0,1.366172409E0,-9.909100950E0,7.145180583E-1,1.002832213E1
1.834917125E0,2.206826457E0,-1.012392064E1,5.028079212E-1,1.037384537E1
1.844854125E0,2.800307590E0,-1.071938471E1,1.230559398E0,1.114725112E1
1.854791125E0,3.080234853E0,-1.053905073E1,2.287284583E0,1.121566350E1
1.864728125E0,3.419593216E0,-9.921440914E0,1.914760228E0,1.066746991E1
1.874665125E0,3.920282106E0,-9.098871573E0,2.961445159E-1,9.911900790E0
1.884601125E0,4.003101192E0,-8.772744874E0,-9.402305228E-1,9.688648265E0
1.894538125E0,3.598772954E0,-9.183083172E0,-1.356787335E0,9.955955765E0
1.904475125E0,3.323474931E0,-9.842236869E0,-1.117289475E0,1.044813132E1
1.914412125E0,3.297664737E0,-1.015458811E1,-8.831704688E-1,1.071308744E1
1.924349125E0,3.195613282E0,-1.025339202E1,-6.915735841E-1,1.076207537E1
1.934286125E0,2.880152197E0,-1.023984753E1,-6.869658868E-2,1.063740915E1
1.944223125E0,2.361707944E0,-1.001367022E1,9.212451982E-1,1.032956671E1
1.954160125E0,1.782330295E0,-9.742034304E0,1.660473590E0,1.004196725E1
1.964097125E0,1.399631200E0,-9.499454961E0,2.125068787E0,9.834354550E0
1.974034125E0,1.262804600E0,-9.212328022E0,2.176827171E0,9.549881652E0
1.983970125E0,1.227462274E0,-8.977583363E0,1.637715057E0,9.207919270E0
1.993907125E0,1.623570496E0,-8.729722230E0,1.187878232E0,8.958520306E0
2.003844125E0,2.315857587E0,-8.451047441E0,6.799668610E-1,8.788956374E0
2.013781125E0,2.755222633E0,-8.182040437E0,-2.462309106E-1,8.636994103E0
2.023718125E0,2.751369611E0,-7.918615186E0,-1.145556085E0,8.460898294E0
2.033655125E0,2.600314103E0,-7.622774726E0,-1.527907856E0,8.197733246E0
2.043592125E0,2.461228139E0,-7.318801373E0,-1.439551749E0,7.854604173E0
2.053528833E0,2.256566820E0,-7.154071274E0,-1.180235848E0,7.593799199E0
2.063465833E0,1.963755363E0,-7.101176777E0,-1.119084570E0,7.452207527E0
2.073401833E0,1.591983691E0,-7.062172925E0,-9.539627818E-1,7.301968466E0
2.083338833E0,1.421047943E0,-7.245294855E0,-9.025925803E-1,7.438302774E0
2.093275833E0,1.377363980E0,-7.205677630E0,-2.327574238E0,7.696526715E0
2.103212833E0,1.104328829E0,-6.423145929E0,-7.351685529E0,9.824643805E0
2.113149833E0,-3.181398408E-1,-5.188437932E0,-6.056782200E0,7.981585792E0
2.123086833E0,-2.641291975E0,-2.101077077E0,4.357667871E0,5.511825238E0
2.133023833E0,-2.929311493E0,4.188545344E0,1.027255218E0,5.213447152E0
2.142960833E0,-1.935026677E0,1.500094990E1,1.895557533E0,1.524355485E1
2.152897833E0,-4.548314437E-1,2.492723932E1,1.109129218E1,2.728719286E1
2.162834833E0,-2.814677707E0,3.331196179E1,1.009553504E0,3.344590270E1
2.172771833E0,-1.606543550E0,2.807198650E1,-1.227134216E1,3.067903595E1
2.182707833E0,3.573975351E-1,9.300608114E0,-6.294177986E0,1.123591210E1
2.192644833E0,-5.187888878E0,6.690781760E0,1.192177105E-1,8.467287903E0
2.202581833E0,-1.059253404E1,1.671870047E1,3.955876739E0,2.018330210E1
2.212518833E0,-9.108130054E0,2.586565428E1,3.539790920E0,2.764995885E1
2.222455833E0,-5.766919348E0,3.085972141E1,-2.015855663E0,3.145859880E1
2.232392833E0,-1.656076045E0,2.750681335E1,-7.797762594E0,2.863865343E1
2.242329833E0,1.160530951E0,2.114429895E1,-6.783152565E0,2.223599265E1
2.252266833E0,1.077125097E0,1.763808859E1,-1.650062184E0,1.774781882E1
2.262203833E0,-1.054404425E0,1.672154690E1,-1.311039305E-1,1.675527044E1
2.272140833E0,-2.165250415E0,1.484913747E1,-1.283275555E0,1.506094250E1
2.282076833E0,-1.483377508E0,1.020344394E1,-1.281464088E0,1.039003500E1
2.292013833E0,-1.132551585E0,5.537289249E0,-2.103521798E0,6.030675690E0
2.301950833E0,-8.783823301E-1,1.433849545E0,-2.641925229E0,3.131652750E0
